Entity,Unsafe water source,Unsafe sanitation,No access to handwashing facility,Household air pollution from solid fuels,Non-exclusive breastfeeding,Discontinued breastfeeding,Child wasting,Child stunting,Low birth weight for gestation,Secondhand smoke,Alcohol use,Drug use,Diet low in fruits,Diet low in vegetables,Unsafe sex,Low physical activity,High fasting plasma glucose,High total cholesterol,High body-mass index,High systolic blood pressure,Smoking,Iron deficiency,Vitamin A deficiency,Low bone mineral density,Air pollution,Outdoor air pollution,Diet high in sodium,Diet low in whole grains,Diet low in nuts and seeds
Lebanon,53.43886993,3.930949769,33.34340204,0.589056526,14.85041658,1.285199122,49.5841502,5.18315993,398.2807848,1049.968708,495.4789082,561.0621094,1153.911056,430.1230952,152.5934553,1533.716808,7397.578714,3590.868263,6599.650428,8072.699227,6405.711047,6.767221183,7.272366134,147.9309833,2761.544853,2799.98,1075.460236,3156.006768,1163.734344
Lesotho,1024.192991,780.9189204,793.26337,1152.826323,98.77648739,14.12440564,600.0842578,137.824451,528.9454614,470.1928027,2687.322097,222.9435091,897.6358155,542.6691709,5820.436267,194.3701095,2997.806103,432.7730413,1785.347195,2704.745487,1852.831943,36.37959314,165.7724477,43.78315582,1722.327932,592.37,282.5378529,540.7442703,467.4745953
Liberia,2131.807609,1533.158445,1489.624799,2121.609847,241.3330353,26.61302566,1912.736639,446.9375487,1471.634642,289.4087423,1345.891498,142.7223962,764.6508953,656.6837449,1834.287651,266.8645219,2122.123949,875.9169199,1426.662202,3010.031294,927.9646239,257.8122563,611.9286019,75.03240005,2328.974469,215.03,245.5233507,837.5824582,584.4000549
Libya,36.5786725,14.66854054,46.74516384,2.028311718,6.471061208,0.836118927,61.13942755,10.31741606,319.5785177,1010.247218,76.4674633,873.7039315,1771.760171,1218.060718,179.8458737,1400.26774,6870.042997,3324.81203,6438.242013,9039.287189,2751.850828,9.719137724,9.861534123,145.7855842,3061.470802,3096.53,1043.190009,3245.570468,2329.983533
Lithuania,4.048682034,2.51121125,8.331899168,60.42250869,1.340463656,0.111740607,6.358617843,0.567096312,24.48616356,640.3256994,3944.790396,450.1928761,2361.692897,1799.529473,207.9759365,2231.970889,5747.41673,8371.353363,5983.945132,14129.80629,5641.804972,0.345757204,0.072584571,163.3735544,2054.470278,2004.28,2798.715004,3582.358993,3186.895666
Low SDI,588585.0259,413514.5453,362004.1352,591509.0894,74798.16772,4484.840762,537776.8888,112880.9856,450953.5468,148849.7264,324179.1104,34965.3299,292753.9909,211933.6086,250239.6442,93320.99988,640579.1015,,270555.925,903825.5765,587759.8865,30870.89919,132379.9573,39803.19333,1004890.397,451560.34,133748.1373,290368.1893,209871.1699
Low-middle SDI,500008.3184,304610.8111,275344.7052,556785.0339,69698.6338,4398.279863,414845.9753,93695.14527,436708.5057,245045.8847,523806.5013,91680.09358,490201.4685,301045.7709,359607.3602,204645.1392,1258345.632,,803000.643,1886364.963,1027021.353,23065.7364,84046.73957,68750.24137,1175165.638,654282.52,364847.3576,615299.0431,407305.7686
Luxembourg,0.414879134,0.231628928,1.241083796,1.350808507,0.101348187,0.019560729,4.719461762,0.014719256,3.078814381,53.39469847,417.047775,48.31013789,34.85389006,93.48352502,13.92984135,106.0486242,663.8734943,310.7585365,435.1768872,779.8720299,670.861559,0.078969915,0.056121587,39.63368299,167.5861106,169.95,145.049547,163.1449174,89.49976814
Madagascar,19564.47249,15674.02116,13184.45885,16691.15253,3087.970205,238.7653641,28198.34843,5662.71131,12038.52895,2329.658142,2882.482695,544.3940717,6547.399754,5155.406168,3773.152186,1039.984734,11664.42214,4808.597603,6025.646136,21904.0851,5820.852189,747.3166763,5401.475588,381.9446401,18721.66734,2096.01,2734.968443,5473.361473,3130.81945
Malawi,5894.020222,4536.228233,4521.032699,7628.329421,528.2594309,31.57087283,5312.560747,1110.892949,6126.035805,623.3094211,4234.260739,372.3588376,2416.803392,2093.327102,17021.6627,774.5418355,8828.112541,2444.896504,3612.495189,11316.83044,3825.578819,287.4706594,1460.885096,435.6405611,8772.480513,1220.37,1330.65056,2016.387337,1928.745049
Malaysia,334.2735181,40.8896257,343.0909116,486.9610513,34.64279848,1.452499965,244.1061543,26.67441277,792.6379962,5436.198455,7002.82114,1704.398649,7617.872181,7425.815829,1531.584807,4708.038875,19366.0195,20444.83881,18260.70939,38193.14543,23650.09053,51.00860148,8.222152828,714.418531,11352.32804,10929.12,13853.16549,10663.79243,8000.009437
Maldives,2.741948649,0.892391703,1.816775572,15.53697747,0.216626619,0.013543072,4.589128486,0.299488673,16.62903722,40.08776302,8.487894067,10.20060074,37.1307784,45.75878438,6.400966615,28.74984706,205.9833382,134.4171743,99.39338226,280.9393163,170.493631,1.442297802,0.281407579,6.423258628,55.5654545,40.88,92.56779358,85.10846955,28.65773356
Mali,12923.2201,9918.904782,8346.082498,9957.977199,2003.907337,146.3510212,18905.8235,2341.113987,16260.78534,1260.51601,2116.729527,453.7082716,3159.25597,1967.309015,5036.817339,1000.775682,7575.070807,2259.357,3617.811797,10331.90705,2594.435775,974.1386271,3658.137574,327.5462592,11522.07621,1658.39,1094.936491,3081.551897,1862.466595
Malta,0.090770596,0.089591613,1.106196584,2.569464549,0.101760516,0.005451143,0.868383157,0.023812012,9.293778669,59.63602542,-10.18857116,21.15206609,142.8618257,45.40391902,10.56524885,169.9263468,854.8217906,413.0216737,461.959269,899.6347739,627.1903014,0.102004553,0.047587636,26.06101002,217.446264,217.86,151.3943181,277.8562043,179.6645465
Marshall Islands,1.166944569,0.616823234,0.781616815,16.50041221,0.34803965,0.008166454,3.90173713,0.456049607,7.716216673,13.48514548,3.166405801,3.313615241,28.95252939,25.03052599,6.019270161,11.63954494,96.64162394,39.02064628,71.80974877,86.65315461,43.09421408,0.749420652,0.844759415,0.772267646,28.14050718,11.65,20.24769296,40.03276744,24.5652745
Mauritania,1219.752279,933.4245629,810.7938795,961.5500531,165.6225499,8.863296632,1134.859011,158.1583469,1221.393113,236.4719069,162.6424969,87.4307606,762.6077369,560.3760705,217.0270715,258.3465586,1995.243243,752.1790877,1510.200288,2616.372799,526.5809138,149.4033589,184.2644871,95.96473127,1658.498704,705.79,285.7235374,834.1812355,471.914062
Mauritius,4.865364407,2.505636844,3.13771544,52.70215184,1.756371336,0.106801833,22.47266842,0.995337828,59.44125794,389.7604941,237.6900144,104.8156889,596.6551011,344.2657356,126.278253,285.415446,3700.107113,1023.037664,1941.412891,2633.499189,1125.890983,1.815077411,0.647875051,25.68731393,754.8073952,704.1,920.3968699,840.351745,592.0546366
Mexico,1741.341968,1000.457584,1207.638739,11727.4787,687.3604058,67.55989504,7660.480187,347.0517476,7221.957905,9754.307556,52225.01556,11645.7604,17182.95798,19070.70814,10577.32407,14314.15416,176933.5296,44851.16407,115425.7322,116440.8065,51575.45497,189.5552966,559.8583332,3325.87283,48071.2524,37367.52,11084.55847,17237.42313,29312.50992
Micronesia (country),2.022682583,0.965161226,1.129927418,36.08476137,0.377558091,0.009997486,5.001116532,0.372699419,9.839391732,24.43777326,1.718354061,5.280949958,49.53238048,42.09821568,32.71769528,22.39290934,189.2341372,79.1851521,146.2298211,142.6434602,80.39511966,0.876270394,0.524512872,1.601715019,56.86154478,20.81,35.95764866,69.93390386,45.25470552
Middle SDI,132952.3666,51943.97779,58216.27501,374557.2002,13651.91504,943.8347353,95202.99457,12542.56194,141471.9351,395848.6318,843368.6145,152664.8888,713921.3101,429872.0088,304322.059,305556.8988,1864091.146,,1257175.893,3041735.931,1976935.949,4783.827176,14673.13973,91206.69293,1340931.889,974878.16,1207526.091,849935.948,575741.5826
Moldova,5.818296904,5.06867198,28.58343705,525.8492048,11.67208687,0.167767951,22.68195326,2.687222454,145.2070242,831.7009917,4187.750827,701.7515673,3292.673089,2035.897026,279.7502071,1711.158055,6932.151702,7450.163789,6589.065543,15719.47926,6386.435459,1.398334748,0.597923735,81.59086092,2786.898278,2279.02,2261.243038,4008.785151,3321.972541
Mongolia,20.62649377,18.00937988,41.22880398,691.9501129,34.69214877,0.313620849,173.4599973,42.73073747,576.1409552,414.238747,2570.908762,384.6964017,1782.741874,1158.779508,148.8995044,336.5749837,2325.344861,2050.941955,2764.568372,5050.109657,2933.948223,8.256965717,25.63658859,36.0487568,1663.795674,980.84,1258.929783,2000.74094,930.807648
Montenegro,0.350340541,0.048509098,0.507556816,169.4593057,0.23346798,0.009933095,1.330805916,0.086713557,10.95453825,220.3764565,862.9439106,44.42851544,165.5762037,33.95036692,26.2211702,176.3680793,1510.860508,766.1598478,977.8797889,2188.70146,1723.68107,0.076820755,0.118981937,14.10183482,469.7841388,302.73,485.3248695,627.3285207,302.5029282
Morocco,694.379828,224.7315196,462.4675036,681.4231777,272.5298066,29.93223773,812.2622405,124.9266413,4389.416171,6664.739543,2998.002399,1650.233221,8269.112962,7416.9086,1412.989502,11835.6842,51256.40838,24247.02105,38977.38891,75706.58482,18401.83116,209.1825493,288.2300251,615.1683034,19695.78414,19174.84,8040.339767,26035.14299,16913.36342
Mozambique,8984.155174,6869.588581,6701.556132,12820.77274,1253.631766,81.48260979,7784.087434,1355.102856,10723.79353,1617.884899,8520.150698,1120.45585,6595.652759,4440.09531,45067.56049,1063.596061,15412.5616,4282.407343,6459.332024,22172.41146,9799.240138,748.4590392,2094.919686,631.4438644,14472.7527,1728.29,2452.546228,6119.526641,2619.853967
Myanmar,6549.454225,4154.676504,3764.979264,27891.18245,1042.212216,21.65709013,6148.924317,1041.491966,8683.247312,11397.33609,13213.4681,4842.441342,16760.22173,7406.034688,7233.455766,4067.655928,65988.40531,13959.91224,20040.66648,51775.23233,68091.86506,505.973102,866.2235481,2591.87344,45383.15542,19001.33,16705.29554,13244.07783,7624.470037
Namibia,625.4598251,431.2520643,353.0063385,568.4969793,79.83385119,13.69980773,527.3952882,60.95657068,479.6969166,209.6855322,1330.944879,163.7654738,510.6002789,356.7541246,3493.872623,209.6978775,1825.373027,477.3780297,1070.313708,1945.146052,1148.135903,12.46433154,57.30006828,39.18648198,1029.194473,479.15,222.8925094,480.1418939,341.1679098
Nepal,8932.552896,5369.359435,3552.749381,11191.43701,328.4303995,3.656338041,2261.589642,347.0897636,3994.873722,3683.799503,6325.414888,931.2663359,7907.789447,3987.924618,2891.400292,2755.501227,17698.41917,12530.77403,9139.502306,24711.28159,23557.88028,346.909498,333.2197165,1547.486979,25689.07005,15894.97,6567.020246,8114.633353,7409.352269
Netherlands,8.141680716,5.381881905,44.18826494,30.81921894,2.551179605,0.283841807,91.83605338,0.352721628,209.7482536,1783.052935,5852.285326,777.229903,3186.386343,3033.567657,462.0344666,2933.376763,21353.55925,9625.34565,11861.4315,23499.83585,30790.92606,1.928514934,1.048549532,1753.439058,6713.653507,6824.72,3285.571704,5199.904768,3094.032935
New Zealand,11.35803437,2.538070102,11.54919924,10.12420455,1.224841109,0.118205969,10.1908601,0.299947662,93.55937779,322.0915778,1299.482586,293.4430018,890.3989799,774.3025779,92.24908593,1118.640198,3814.429412,2707.165294,3587.352113,5473.529557,4204.82343,0.683018737,0.078628795,300.1740875,696.8085875,688.83,1124.191026,1498.388161,1175.372102
Nicaragua,126.8626405,87.70075972,74.70525557,983.5000644,58.70769246,4.116857129,238.1747741,25.99107086,564.55214,411.5629078,1440.51091,405.5525163,904.7384633,909.0662864,825.542105,394.2070129,4459.430782,1708.09416,3123.735289,4860.165543,1474.870867,10.2521954,11.64987371,106.6228825,1508.898905,537.51,632.422371,1012.964138,982.8619821
Niger,18585.64401,14623.78297,12166.54542,12318.90686,3550.993099,305.7451028,26844.36562,6808.821371,10822.83981,1150.032596,1035.589003,227.6265635,2796.463934,1677.715413,2632.953615,682.9954735,6050.774368,2652.020037,2552.110244,8654.136772,1614.269819,1008.54527,7263.800332,274.7603471,15427.92877,3203.47,806.3081218,2757.392674,1299.417252
Nigeria,116192.2561,72650.04621,86843.92095,64226.19331,31456.88661,1889.72316,189924.2335,49125.42463,119824.1247,13792.60484,39517.06615,20350.10968,16276.45163,11810.61593,140844.8009,6916.512176,46112.11769,16788.98966,25869.46454,79218.91495,13479.00976,6057.358077,38201.77865,3118.159753,114114.7351,50401.07,5519.306369,20224.0243,9565.279039
North Africa and Middle East,23986.20419,16401.72849,14856.7548,35915.42216,9864.333802,643.9358538,49459.69164,10980.27116,95034.72947,71124.32634,27504.91646,24826.20043,109430.7761,59922.69128,12124.41355,112596.9115,487095.4768,337099.976,435633.2461,689635.536,303889.0579,3624.986788,11547.02027,10395.87095,264283.0447,231869.84,84526.65885,244425.7462,158233.683
North America,344.6524327,638.0582989,887.2626009,526.7368451,204.0849528,36.93814755,4886.264602,24.07443697,9365.494297,29077.16679,86243.57743,109242.7588,91258.34642,75680.18761,15577.71536,79656.02908,456907.0753,254177.0094,441708.2869,496829.1022,471499.5617,154.3753362,31.67596431,23353.47751,115363.6203,117588.53,107242.6716,145089.0957,108596.9284
North Korea,190.8602132,185.3139757,131.7311575,24066.61699,124.6299931,7.065524544,1144.147581,184.240875,1537.785929,10037.85624,7861.192301,2535.752628,16725.23641,6070.795605,1864.39047,4612.414978,22287.64381,15655.21403,7938.282442,52742.39102,36468.37282,54.87972024,135.2620964,787.0176699,38767.70567,17528.77,21153.63969,15045.67234,7694.794092
North Macedonia,2.43355817,0.947036251,1.112988207,410.9900201,2.992835336,0.16411288,8.211119015,0.791584552,105.6608738,696.3649779,62.2676835,118.7576429,1020.310611,314.8926789,77.88860232,670.6598828,4433.138371,2488.76626,3244.671236,6462.676859,4278.87689,0.340580572,1.663071997,47.49648279,1663.185123,1268.61,1516.388024,1986.294515,868.7079809
Northern Ireland,1.111904682,0.177911702,6.923081936,10.18271874,0.51698582,0.078175206,4.182067953,0.100690209,52.24828203,202.990991,715.0649656,134.603047,505.95809,363.2042274,53.38397572,433.7007993,2043.819235,1434.067238,1430.701744,2584.254366,2183.611622,0.37705268,0.258036602,89.32230348,595.7299956,593.07,312.3388855,661.0011313,467.4191045
Northern Mariana Islands,0.264947261,0.044064726,0.170190608,4.870764191,0.023578979,0.000519522,1.201650885,0.025098006,0.920444232,6.689776739,3.655431551,2.630261204,9.090919234,10.00574089,2.840565972,6.611407337,66.06398528,23.81911665,52.37048667,57.74484163,26.34862507,0.044828361,0.041270095,1.068853369,16.53525658,11.92,17.63864124,19.76291886,13.30988554
Norway,7.330399073,4.87614787,18.8690378,19.609694,0.431110605,0.062134466,40.38796606,0.070918504,33.63818086,387.9268683,520.0028284,415.0875699,770.3656546,1097.78309,134.1329403,1238.051992,5852.469547,3879.525997,3343.835192,6934.757416,5898.261646,0.322004894,0.238137768,499.4698657,1152.865647,1151.81,1014.081169,1762.594171,1252.415609
Oceania,2980.070163,2287.698729,1430.59683,11033.18378,274.7825744,32.43024334,3289.824411,626.1419199,3213.824044,3767.186436,4989.823106,582.8187699,6249.552947,5418.013827,2097.311758,2102.633568,19361.66542,7805.209049,12408.38253,16045.42567,13687.0514,532.3629521,377.4258659,193.0077636,12766.87007,1746.7,3568.774447,8544.536265,5279.398465
Oman,11.56450219,1.037748824,14.25900917,8.203509975,3.16338975,0.125688437,27.17326093,3.295102494,300.9102731,274.5124418,81.08148379,108.180396,53.94703879,365.6066729,141.3942919,405.3630285,2055.823623,1752.662197,2009.293083,2798.274935,921.5833604,3.169033234,2.223574765,71.78196575,902.3136955,897.37,408.1114098,976.5408582,775.3900326
Pakistan,49851.42195,25963.82908,20785.2378,59080.23598,10393.67624,783.1054038,47478.18662,12171.01091,91614.38154,33524.51263,7948.410684,7424.473481,73998.38823,62132.20588,5369.931485,27757.44742,161493.5114,112797.4333,100934.7083,226593.8346,128588.5322,5287.023525,7361.333277,4131.182378,128004.6209,71960.58,56849.39653,94133.80806,59704.3606
Palestine,25.70535633,5.56471695,31.6159853,12.20669036,9.763170644,0.57719023,48.67312689,5.385538472,703.9669842,346.464793,27.51387061,102.1795362,803.3346201,566.6557925,36.49858328,553.9968994,3189.733154,2767.30654,2221.831089,3091.643059,1138.537368,4.111949099,13.15677825,30.60314226,1124.295045,1122.7,331.5344432,1242.402332,846.3569466
Panama,99.13371146,56.6587518,60.18864587,242.4311302,32.37538681,3.429897403,209.0361177,20.58661416,238.1514823,198.4662996,1259.841797,205.9831243,515.2561776,634.9654248,699.2863663,314.7714658,2816.275936,1277.575349,2103.848212,3309.636145,1541.893804,11.31803548,12.7578044,75.11308899,853.3221532,616.08,621.814755,699.3905203,669.1457832
Papua New Guinea,2659.900377,2064.604586,1284.44975,9068.837789,240.5095694,29.30958087,2868.139214,564.9193657,2676.771669,2857.094082,4536.709792,434.8944221,4714.196499,4133.580998,1712.274758,1421.504919,13023.89087,5723.667573,7691.325067,11067.7296,10566.14722,480.8689624,320.7786715,132.0712332,10163.66343,1105.87,2367.244012,6293.196548,3723.95546
Paraguay,102.8773214,47.0101911,101.122424,1326.430817,36.55111819,2.660165402,333.6277556,10.61874396,322.6405742,665.5687452,1729.486658,263.9793905,1248.828046,1183.801151,1031.061579,681.039422,6206.709881,2712.172295,4314.690932,6477.083631,4293.22832,28.58216396,25.15229169,166.442377,2113.024429,800.78,1279.370678,1763.204118,1247.946383
Peru,723.3918078,509.0980271,965.3601122,3775.025716,135.9000267,8.093662866,1439.616099,165.7385396,2156.178315,1527.596908,6287.707202,1280.809247,2582.918135,3091.352529,3133.339274,2167.595805,12426.93071,6417.795421,12090.74473,16083.03585,7048.791114,102.9170633,159.7356882,620.7683646,9572.579604,5839.56,4347.926317,4468.679816,3905.034459
Philippines,5507.287301,1467.362329,4213.799108,42000.06841,1709.737193,183.9803938,13531.88666,2392.796413,14396.03639,21407.08577,29506.90953,3498.67673,20990.36453,25698.27733,6148.430598,8830.769528,125938.7476,55522.72187,68559.41623,137091.3203,93737.16162,364.886385,2045.77382,1518.154438,64386.21121,22638.53,43476.86623,34100.73398,28518.84009
Poland,73.94310044,12.86688507,67.9541971,2399.674725,6.335232305,0.328526185,105.0079915,3.309129252,590.6541692,7935.864804,27754.50649,2523.050205,21061.21485,9768.557067,2284.30494,14376.97223,65170.75542,58196.05282,55277.22012,87936.19457,76482.20545,2.199411728,4.570422366,2330.879772,24629.35104,22520.05,19666.28717,25600.41686,21165.65343
Portugal,15.56479995,17.74855062,51.16219076,175.106846,2.938420012,0.309353426,88.76102579,0.446909263,72.95249097,1557.621078,12202.58116,676.7184318,3139.114452,1523.457274,829.6195725,3253.725362,20960.62449,7933.696375,10776.8311,18892.60768,11869.44749,1.486154748,1.212915899,445.3636244,4328.693244,4237.9,2444.671817,5226.556969,2819.367331
Puerto Rico,49.49258413,3.204629598,65.98723481,9.622321519,3.102825241,0.198488403,86.83016648,0.581158804,79.44570202,253.7566863,1878.427559,418.5654777,593.2251648,805.9800063,337.3390773,848.3222223,7123.798178,2093.374611,6057.256752,5489.778002,1865.767798,1.245125671,0.500190091,143.5654875,1279.046187,1281.29,724.7897831,1608.428502,1197.631706
Qatar,1.616976009,0.290028597,2.6160738,0.020585329,0.904886322,0.054694766,4.004309763,0.47836509,66.86446506,75.74879044,136.779258,79.81663835,33.10717469,1.541011212,12.05494151,95.00271744,675.6205386,303.9274524,751.1093721,590.0097816,277.0562145,0.543725001,0.479016699,21.99173388,344.6368802,347.72,117.0167463,290.5437657,39.07240046
Romania,43.97288279,28.23393562,65.39495727,3589.936836,62.64674962,1.563623654,261.3966585,28.43177906,341.6584134,5869.004763,37822.34483,3053.841618,14933.18661,1709.079811,1908.433064,10351.076,29894.32199,39557.6402,40891.30107,92922.26184,40499.03361,7.051833792,32.98898177,632.0540633,15126.37283,11662.21,20975.14331,19871.72315,14160.73629
Russia,155.526737,122.5171726,470.6781972,381.8490798,151.052688,8.204329497,715.6671859,75.57932866,2702.027159,37847.85949,189864.6876,35740.07125,118512.4326,85961.31466,14440.92909,99134.0675,257065.554,393752.2652,286419.8161,562932.9159,301067.822,36.42804405,10.59031906,4656.575673,99392.1623,99613.01,93047.76178,175951.7905,126752.2803
Rwanda,3162.851511,2450.659915,2753.307022,4237.236325,172.2077891,19.07506976,3904.204561,700.1281978,3571.239675,397.8484467,4604.397587,187.1197704,284.451055,816.1785547,3218.932902,293.8785055,4631.614679,716.0705312,1953.927001,5372.267046,3787.438145,138.2873032,698.3261986,336.4728468,5523.825459,1337.55,831.5094058,1427.824752,725.3287245
Saint Lucia,2.780600753,1.107984241,2.478783712,10.68115857,0.368905826,0.022707189,5.18590495,0.06717527,10.95392566,11.25059048,80.96000977,9.203592489,35.27351149,36.60712942,19.94332364,30.9121226,268.3955139,58.22446306,180.5120738,260.5046273,113.0735346,0.414009701,0.095012569,4.087028319,80.4456983,69.76,26.27596706,74.66613501,42.71767663
Saint Vincent and the Grenadines,2.947415301,1.389237977,3.593884063,14.2246878,0.525403926,0.035093249,7.257719506,0.164228295,9.214163721,12.70412269,49.3634063,6.785469153,30.87301051,35.46370842,28.58616872,30.09601333,233.0802633,70.74932284,146.2941973,216.1966048,69.92856977,0.389971428,0.170917028,3.049458757,66.47246335,52.27,20.94945425,67.44513415,45.32098604
